stable_id,heya,lat,lng
0,Azumazeki,35.7585295,139.8680035
1,Futagoyama,43.0431112,141.3160186
2,Musashigawa,35.71277329999999,139.8643459
3,Takanohana,35.71277329999999,139.8643459
4,Tomozuna,35.7059724,139.8131566
5,Kokonoe,33.2285239,131.1888843
6,Kasugano,37.1520331,138.2314092
7,Tokitsukaze,35.6937382,139.7945024
8,Sadogatake,35.6937382,139.7945024
9,Isenoumi,35.7256939,139.7456538
10,Dewanoumi,35.6923601,139.7926487
11,Minato,35.65808130000001,139.7515077
12,Kataonami,34.1867775,135.1687875
13,Tamanoi,35.3350621,136.7581122
14,Tatsutagawa,34.6119588,135.7106555
15,Oshima,34.7408836,139.3856256
16,Magaki,37.1854839,140.4463218
17,Kitanoumi,35.2477713,-106.6916609
18,Mihogaseki,32.7503334,129.8778888
19,Takasago,34.7661005,134.7906014
20,Izutsu,35.0044519,135.7723814
21,Wakamatsu,37.4899827,139.9277486
22,Tagonoura,35.1362459,138.7455963
23,Hakkaku,35.6974713,139.7989615
24,Tatsunami,35.6923601,139.7926487
25,Nishonoseki,35.6945485,139.9827277
26,Oshiogawa,36.3260317,136.5289653
27,Irumagawa,35.8506694,139.4084837
28,Naruto,34.1726034,134.608866
29,Asahiyama,43.7684103,142.480038
30,Michinoku,39.1362124,141.1499861
31,Matsugane,34.9909613,137.5183365
32,Isegahama,34.1867775,135.1687875
33,Hanaregoma,37.1520331,138.2314092
34,Ajigawa,34.6788012,135.4671712
35,Oitekaze,35.8125443,139.8144201
36,Miyagino,38.2789376,140.9508565
37,Oguruma,44.6167739,142.2331405
38,Yamahibiki,35.6705954,139.8411596
39,Fujishima,38.7655108,139.9081258
40,Kasugayama,37.1466667,138.2055556
41,Onomatsu,35.670438,140.0347887
42,Sakaigawa,35.3704262,136.747785
43,Hanakago,45.5194078,-122.7068794
44,Takadagawa,34.8610212,137.4296623
45,Kagamiyama,34.4016318,132.7247156
46,Taiho,41.1436456,-83.1646008
47,Onaruto,34.2372609,134.6465271
48,Kumagatani,36.1471963,139.3889796
49,Otake,34.2376953,132.2221691
50,Minezaki,31.9077285,131.4202196
51,Arashio,34.6432078,134.9975859
52,Onoe,38.872941,-77.414637
53,Shikoroyama,35.58915210000001,139.2854104
54,Kise,26.5334687,127.9413748
55,Chiganoura,35.7240504,139.8063938
56,Tokiwayama,34.0756731,131.8252971
